watchlist_id,watch_type,entity_id,risk_level,action,reason_code,reason_description,status,effective_from,reported_by,reported_source,country,city
wl000001,CARD,<TEST_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:00:00,SOC,Manual,India,Hyderabad
wl000002,CARD,<MASKED_CARD_NUMBER>,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:01:00,SOC,External Feed,India,Pune
wl000003,CARD,<MASKED_CARD_NUMBER>,low,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:02:00,AML Team,External Feed,India,Delhi
wl000004,CARD,<MASKED_CARD_NUMBER>,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:04:00,AML Team,External Feed,India,Chennai
wl000005,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:07:00,Customer Care,CRM,India,Bengaluru
wl000006,CARD,<MASKED_CARD_NUMBER>,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:12:00,SOC,Manual,India,Mumbai
wl000007,CARD,<MASKED_CARD_NUMBER>,medium,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:28:00,AML Team,AML,India,Chennai
wl000008,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:31:00,AML Team,External Feed,India,Bengaluru
wl000009,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:32:00,AML Team,Manual,India,Chennai
wl000010,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:33:00,Customer Care,External Feed,India,Mumbai
wl000011,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:35:00,SOC,AML,India,Bengaluru
wl000012,CARD,<MASKED_CARD_NUMBER>,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:37:00,Fraud Team,CRM,India,Mumbai
wl000013,CARD,<MASKED_CARD_NUMBER>,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:41:00,Customer Care,External Feed,India,Mumbai
wl000014,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:43:00,Fraud Team,External Feed,India,Pune
wl000015,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:49:00,SOC,AML,India,Delhi
wl000016,CARD,<MASKED_CARD_NUMBER>,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:53:00,SOC,Manual,India,Mumbai
wl000017,CARD,<MASKED_CARD_NUMBER>,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:55:00,Fraud Team,CRM,India,Chennai
wl000018,CARD,<MASKED_CARD_NUMBER>,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:56:00,AML Team,Manual,India,Delhi
wl000019,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:58:00,Customer Care,CRM,India,Delhi
wl000020,CARD,<MASKED_CARD_NUMBER>,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:59:00,SOC,AML,India,Mumbai
wl000021,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:02:00,AML Team,External Feed,India,Pune
